user_id,device,sessions_pre,spend_pre,revenue_y0,revenue_y1
112,mobile,4,98.17,9.65,12.15
113,desktop,4,44.64,28.19,30.69
114,mobile,3,58.2,39.46,41.96
115,mobile,4,127.06,37.75,40.25
116,mobile,10,56.97,20.51,23.01
117,mobile,6,78.87,39.87,42.37
118,desktop,6,76.22,9.59,12.09
119,mobile,8,37.02,8.73,11.23
120,mobile,3,119.58,33.13,35.63
121,desktop,2,49.08,39.02,41.52
122,mobile,8,53.96,51.64,54.14
123,mobile,7,83.6,0.0,2.5
124,desktop,8,41.46,18.76,21.26
125,mobile,5,52.21,21.87,24.37
126,mobile,2,83.06,26.25,28.75
127,mobile,3,23.57,10.69,13.19
128,desktop,7,131.94,35.73,38.23
129,mobile,6,107.41,48.45,50.95
130,mobile,3,55.25,16.15,18.65
131,desktop,5,10.67,20.38,22.88
132,mobile,5,69.35,17.9,20.4
133,mobile,4,73.88,22.17,24.67
134,mobile,6,58.6,16.74,19.24
135,mobile,9,63.31,22.96,25.46
136,desktop,9,57.56,49.99,52.49
137,desktop,4,75.69,0.0,2.5
138,desktop,10,96.89,49.59,52.09
139,mobile,6,89.79,31.48,33.98
140,mobile,5,20.38,0.0,2.5
141,mobile,5,83.62,50.99,53.49
142,desktop,5,86.7,11.16,13.66
143,mobile,5,105.74,23.37,25.87
144,mobile,5,52.29,15.84,18.34
145,mobile,4,57.57,22.72,25.22
146,mobile,8,46.4,8.29,10.79
147,desktop,7,42.81,17.7,20.2
148,desktop,6,94.42,32.63,35.13
149,mobile,7,25.2,27.08,29.58
150,desktop,5,83.15,31.91,34.41
151,desktop,7,91.42,18.6,21.1
152,desktop,6,151.41,83.59,86.09
153,mobile,7,37.4,37.5,40.0
154,mobile,6,10.44,0.0,2.5
155,desktop,2,17.59,0.0,2.5
156,desktop,8,79.41,25.94,28.44
157,mobile,5,131.6,19.5,22.0
158,mobile,4,95.36,23.63,26.13
159,mobile,7,39.42,26.46,28.96
160,desktop,3,37.27,8.76,11.26
161,desktop,5,12.89,9.51,12.01
162,mobile,6,14.44,0.0,2.5
163,mobile,8,14.53,0.0,2.5
164,mobile,5,89.04,36.12,38.62
165,mobile,3,118.23,27.46,29.96
166,desktop,6,63.82,17.22,19.72
167,mobile,7,25.84,21.21,23.71
168,mobile,3,53.22,13.66,16.16
169,mobile,4,38.48,0.0,2.5
170,mobile,3,45.8,11.99,14.49
171,desktop,2,32.1,38.49,40.99
172,desktop,9,11.48,0.0,2.5
173,mobile,4,5.84,0.0,2.5
174,mobile,5,29.34,0.0,2.5
175,desktop,4,87.09,36.37,38.87
176,mobile,4,45.39,26.97,29.47
177,mobile,6,13.91,0.92,3.42
178,mobile,8,22.36,53.4,55.9
179,mobile,7,20.69,8.53,11.03
180,desktop,4,58.34,56.83,59.33
181,mobile,7,14.72,7.14,9.64
182,desktop,6,58.17,52.27,54.77
183,mobile,6,13.95,18.62,21.12
184,desktop,3,24.73,0.0,2.5
185,desktop,4,119.27,53.29,55.79
186,mobile,5,28.1,14.6,17.1
187,mobile,7,37.37,14.64,17.14
188,mobile,5,42.42,35.49,37.99
189,mobile,6,24.93,0.0,2.5
190,mobile,5,104.87,36.21,38.71
191,mobile,3,83.47,25.87,28.37
192,mobile,8,78.12,27.49,29.99
193,mobile,2,164.08,2.88,5.38
194,desktop,3,11.89,17.44,19.94
195,mobile,1,59.81,22.58,25.08
196,desktop,6,144.5,41.59,44.09
197,mobile,4,60.65,16.67,19.17
198,desktop,2,26.09,0.0,2.5
199,desktop,3,27.74,3.6,6.1
200,mobile,5,52.63,24.06,26.56
201,mobile,5,146.04,22.88,25.38
202,mobile,8,31.76,22.12,24.62
203,mobile,5,30.74,0.0,2.5
204,desktop,3,26.6,0.0,2.5
205,desktop,4,22.45,8.45,10.95
206,mobile,7,26.77,1.09,3.59
207,desktop,1,110.62,75.91,78.41
208,mobile,4,22.38,0.0,2.5
209,mobile,8,40.37,31.18,33.68
210,desktop,6,36.13,14.29,16.79
211,desktop,3,33.99,0.0,2.5
212,mobile,2,45.64,28.35,30.85
213,mobile,7,40.83,23.59,26.09
214,mobile,3,26.28,0.0,2.5
215,mobile,5,22.97,12.99,15.49
216,mobile,5,89.88,36.59,39.09
217,desktop,4,43.15,6.5,9.0
218,mobile,4,15.46,14.76,17.26
219,desktop,3,24.2,8.79,11.29
220,mobile,5,90.52,0.0,2.5
221,desktop,4,63.49,22.72,25.22
222,mobile,4,110.46,54.9,57.4
223,desktop,6,65.74,51.7,54.2
224,mobile,6,27.84,8.66,11.16
225,mobile,5,15.76,0.0,2.5
226,mobile,5,39.06,20.59,23.09
227,desktop,3,30.37,20.46,22.96
228,mobile,8,59.31,5.86,8.36
229,desktop,5,46.07,35.44,37.94
230,desktop,4,40.67,15.42,17.92
231,mobile,5,84.5,33.17,35.67
232,mobile,7,119.52,20.4,22.9
233,mobile,3,26.08,0.0,2.5
234,desktop,4,3.15,4.3,6.8
235,mobile,2,67.96,10.26,12.76
236,desktop,4,48.77,41.96,44.46
237,mobile,3,5.64,0.0,2.5
238,mobile,6,51.36,2.94,5.44
239,desktop,2,117.68,39.39,41.89
240,mobile,6,10.73,11.78,14.28
241,mobile,1,91.23,19.53,22.03
242,mobile,3,56.43,58.26,60.76
243,desktop,6,65.76,13.34,15.84
244,desktop,7,73.41,33.95,36.45
245,desktop,5,31.66,0.0,2.5
246,desktop,9,41.53,5.86,8.36
247,mobile,3,88.23,23.63,26.13
248,desktop,8,41.03,24.01,26.51
249,mobile,3,131.78,14.61,17.11
250,desktop,3,3.13,0.0,2.5
251,mobile,2,87.52,49.61,52.11
252,mobile,4,46.98,29.01,31.51
253,mobile,3,13.1,0.0,2.5
254,mobile,6,78.39,10.09,12.59
255,mobile,8,60.72,14.0,16.5
256,mobile,4,17.95,2.21,4.71
257,mobile,4,12.54,28.01,30.51
258,mobile,4,23.55,4.97,7.47
259,mobile,4,15.53,0.0,2.5
260,desktop,6,230.78,66.44,68.94
261,mobile,4,86.86,86.32,88.82
262,mobile,4,66.7,31.03,33.53
263,mobile,11,40.76,0.0,2.5
264,mobile,5,21.59,0.0,2.5
265,mobile,5,89.8,36.23,38.73
266,desktop,5,25.22,29.81,32.31
267,mobile,6,24.72,7.22,9.72
268,mobile,7,166.61,46.64,49.14
269,desktop,5,58.13,21.12,23.62
270,mobile,5,112.62,68.96,71.46
271,mobile,3,55.62,32.2,34.7
272,mobile,5,95.71,32.88,35.38
273,mobile,5,29.54,0.0,2.5
274,mobile,6,56.31,38.16,40.66
275,mobile,8,72.86,46.65,49.15
276,desktop,6,55.0,19.39,21.89
277,mobile,4,52.99,40.29,42.79
278,desktop,10,25.22,18.04,20.54
279,desktop,5,85.22,50.43,52.93
280,desktop,2,61.03,45.07,47.57
281,desktop,1,33.55,13.83,16.33
282,mobile,3,59.58,34.01,36.51
283,mobile,4,67.91,49.66,52.16
284,mobile,6,4.61,41.19,43.69
285,mobile,3,24.22,1.06,3.56
286,mobile,3,33.34,20.72,23.22
287,mobile,6,37.31,32.24,34.74
288,mobile,3,39.06,0.0,2.5
289,mobile,8,293.75,114.36,116.86
290,mobile,3,133.57,34.18,36.68
291,mobile,3,210.78,94.11,96.61
292,mobile,3,13.47,14.51,17.01
293,desktop,4,78.38,28.61,31.11
294,desktop,7,62.31,32.81,35.31
295,mobile,7,54.09,32.4,34.9
296,mobile,4,120.66,22.46,24.96
297,desktop,4,73.85,10.51,13.01
298,mobile,5,35.49,31.87,34.37
299,mobile,6,79.04,7.95,10.45
300,mobile,3,96.13,26.33,28.83
301,desktop,5,9.88,27.64,30.14
302,mobile,7,27.78,10.43,12.93
303,mobile,4,109.47,77.26,79.76
304,mobile,6,16.41,0.0,2.5
305,mobile,4,50.42,30.42,32.92
306,mobile,4,138.58,32.28,34.78
307,desktop,4,62.32,20.06,22.56
308,desktop,4,25.72,32.24,34.74
309,mobile,5,19.45,7.82,10.32
310,mobile,6,59.72,14.95,17.45
311,mobile,3,58.77,47.65,50.15
312,desktop,4,74.51,41.95,44.45
313,mobile,7,36.35,2.74,5.24
314,mobile,4,93.49,63.59,66.09
315,mobile,7,157.82,47.5,50.0
316,mobile,7,97.53,50.16,52.66
317,desktop,6,26.42,20.44,22.94
318,mobile,5,45.51,2.29,4.79
319,mobile,2,49.92,0.0,2.5
320,mobile,4,71.02,33.66,36.16
321,mobile,1,43.29,0.0,2.5
322,mobile,4,46.25,22.95,25.45
323,mobile,6,18.86,15.29,17.79
324,mobile,5,42.18,31.22,33.72
325,desktop,8,66.55,17.85,20.35
326,mobile,7,20.37,0.0,2.5
327,desktop,5,64.21,16.3,18.8
328,mobile,4,152.98,63.56,66.06
329,mobile,4,71.08,10.74,13.24
330,desktop,4,145.89,32.67,35.17
331,mobile,3,34.16,7.12,9.62
332,mobile,7,35.41,6.73,9.23
333,mobile,8,20.25,0.0,2.5
334,mobile,9,48.93,0.0,2.5
335,desktop,7,28.74,6.47,8.97
336,mobile,4,15.96,0.0,2.5
337,desktop,4,99.84,37.98,40.48
338,mobile,4,51.37,35.28,37.78
339,desktop,4,139.39,44.27,46.77
340,mobile,4,44.9,0.0,2.5
341,mobile,6,31.18,34.84,37.34
342,desktop,3,79.93,39.19,41.69
343,mobile,5,35.56,0.0,2.5
344,mobile,3,19.69,13.19,15.69
345,desktop,10,107.91,27.97,30.47
346,mobile,4,83.05,23.35,25.85
347,mobile,7,46.05,0.0,2.5
348,mobile,2,88.84,4.25,6.75
349,mobile,4,130.14,56.23,58.73
350,desktop,7,105.18,14.25,16.75
351,mobile,2,96.1,53.38,55.88
352,mobile,5,81.58,38.08,40.58
353,mobile,6,63.5,4.62,7.12
354,mobile,3,48.36,71.68,74.18
355,mobile,7,50.41,8.37,10.87
356,mobile,6,85.02,39.07,41.57
357,desktop,8,98.55,29.9,32.4
358,mobile,4,132.54,67.82,70.32
359,mobile,6,49.04,17.99,20.49
360,mobile,5,11.82,0.0,2.5
361,mobile,6,60.67,28.1,30.6
362,desktop,3,40.73,0.0,2.5
363,desktop,3,4.16,10.39,12.89
364,mobile,5,43.04,16.23,18.73
365,mobile,4,94.41,65.87,68.37
366,desktop,5,80.24,18.48,20.98
367,mobile,5,91.7,20.72,23.22
368,desktop,7,22.65,48.1,50.6
369,mobile,5,134.67,66.38,68.88
370,mobile,2,17.71,0.0,2.5
371,desktop,7,130.26,68.18,70.68
372,desktop,4,14.4,11.2,13.7
373,desktop,7,124.1,8.88,11.38
374,mobile,3,132.42,33.2,35.7
375,mobile,7,35.66,30.03,32.53
376,mobile,4,47.48,11.91,14.41
377,desktop,8,20.63,16.87,19.37
378,mobile,3,22.37,47.43,49.93
379,mobile,6,108.17,33.64,36.14
380,mobile,9,114.54,14.91,17.41
381,mobile,4,52.98,55.67,58.17
382,mobile,3,15.51,16.96,19.46
383,desktop,4,23.66,0.0,2.5
384,mobile,5,18.3,0.0,2.5
385,desktop,6,36.57,0.0,2.5
386,mobile,4,17.98,6.38,8.88
387,mobile,3,62.55,20.34,22.84
388,mobile,4,57.93,34.0,36.5
389,mobile,6,112.53,53.51,56.01
390,desktop,7,123.65,54.94,57.44
391,mobile,5,46.46,0.0,2.5
392,desktop,7,47.97,0.0,2.5
393,mobile,5,60.6,0.0,2.5
394,mobile,4,53.5,40.37,42.87
395,desktop,6,52.06,14.91,17.41
396,desktop,5,112.15,28.66,31.16
397,mobile,5,47.31,22.71,25.21
398,mobile,3,22.06,0.0,2.5
399,desktop,8,58.64,45.23,47.73
400,mobile,8,85.67,0.0,2.5
401,mobile,6,35.82,5.22,7.72
402,mobile,3,79.16,50.56,53.06
403,mobile,7,124.26,34.17,36.67
404,desktop,7,31.88,36.72,39.22
405,desktop,7,104.34,40.06,42.56
406,mobile,2,32.49,18.7,21.2
407,mobile,8,77.52,26.8,29.3
408,mobile,4,114.58,51.81,54.31
409,mobile,6,103.34,28.0,30.5
410,mobile,4,54.67,33.07,35.57
411,mobile,10,105.19,54.01,56.51
412,desktop,6,94.49,61.43,63.93
413,mobile,8,29.93,13.78,16.28
414,mobile,2,13.68,0.0,2.5
415,mobile,9,43.28,39.68,42.18
416,mobile,8,202.42,29.8,32.3
417,desktop,6,57.76,24.88,27.38
418,desktop,4,15.52,0.0,2.5
419,mobile,4,56.84,0.0,2.5
420,desktop,3,5.34,0.0,2.5
421,mobile,4,45.39,0.96,3.46
422,mobile,5,59.87,0.0,2.5
423,mobile,5,107.88,30.69,33.19
424,desktop,7,81.5,34.2,36.7
425,mobile,6,56.52,10.17,12.67
426,mobile,2,11.61,22.38,24.88
427,mobile,6,38.18,3.41,5.91
428,desktop,4,86.12,25.79,28.29
429,mobile,6,36.63,0.0,2.5
430,desktop,5,29.69,21.22,23.72
431,mobile,6,41.26,42.31,44.81
432,desktop,8,131.38,34.92,37.42
433,mobile,4,77.41,30.36,32.86
434,mobile,5,29.93,3.59,6.09
435,mobile,4,3.83,0.0,2.5
436,mobile,4,76.3,15.66,18.16
437,desktop,6,81.16,17.48,19.98
438,mobile,6,46.69,0.0,2.5
439,mobile,11,31.9,25.24,27.74
440,desktop,4,42.42,7.58,10.08
441,mobile,5,49.88,26.99,29.49
442,mobile,5,29.2,19.81,22.31
443,desktop,1,87.35,43.12,45.62
444,desktop,3,59.87,35.81,38.31
445,mobile,4,24.07,0.0,2.5
446,mobile,7,9.81,0.0,2.5
447,desktop,4,60.2,18.84,21.34
448,mobile,10,93.59,31.71,34.21
449,mobile,6,41.87,18.23,20.73
450,desktop,9,102.05,1.39,3.89
451,mobile,6,98.07,32.6,35.1
452,mobile,5,36.16,7.82,10.32
453,desktop,2,7.24,0.0,2.5
454,desktop,6,5.76,0.71,3.21
455,desktop,4,44.14,24.88,27.38
456,desktop,6,90.57,32.62,35.12
457,desktop,4,39.32,0.0,2.5
458,desktop,2,59.73,37.47,39.97
459,mobile,2,39.48,43.42,45.92
460,desktop,5,67.25,17.34,19.84
461,mobile,7,57.9,19.01,21.51
462,mobile,1,29.47,32.7,35.2
463,mobile,6,89.15,59.13,61.63
464,mobile,3,31.29,33.6,36.1
465,desktop,5,67.19,0.0,2.5
466,mobile,4,23.72,0.0,2.5
467,mobile,5,19.08,37.95,40.45
468,mobile,7,24.22,0.0,2.5
469,desktop,4,15.7,0.0,2.5
470,desktop,6,87.91,30.84,33.34
471,desktop,8,78.92,24.91,27.41
472,desktop,5,16.02,2.99,5.49
473,desktop,9,34.42,26.68,29.18
474,mobile,3,6.9,9.3,11.8
475,desktop,4,44.76,0.0,2.5
476,desktop,2,44.46,32.74,35.24
477,mobile,6,15.8,0.0,2.5
478,mobile,4,74.25,50.14,52.64
479,mobile,4,187.47,62.89,65.39
480,mobile,2,24.51,10.1,12.6
481,desktop,4,104.25,50.76,53.26
482,mobile,4,29.21,23.07,25.57
483,mobile,5,63.75,2.3,4.8
484,mobile,4,8.15,0.0,2.5
485,mobile,8,47.89,4.86,7.36
486,mobile,4,61.9,22.14,24.64
487,mobile,3,171.91,58.91,61.41
488,mobile,9,73.36,52.06,54.56
489,mobile,5,45.46,6.9,9.4
490,mobile,2,65.93,25.81,28.31
491,desktop,9,27.68,0.0,2.5
492,desktop,6,3.43,1.96,4.46
493,desktop,2,67.83,10.8,13.3
494,mobile,6,14.18,0.0,2.5
495,mobile,5,18.89,0.0,2.5
496,desktop,7,34.62,0.0,2.5
497,mobile,4,57.61,19.69,22.19
498,mobile,5,44.01,8.66,11.16
499,mobile,5,41.0,5.11,7.61
500,desktop,3,62.23,29.92,32.42
501,mobile,4,17.54,0.0,2.5
502,mobile,4,59.36,13.93,16.43
503,desktop,4,53.87,9.3,11.8
504,desktop,3,115.69,50.08,52.58
505,mobile,5,12.89,0.0,2.5
506,desktop,5,165.61,50.04,52.54
507,mobile,7,120.38,44.64,47.14
508,desktop,10,36.91,0.0,2.5
509,mobile,6,72.5,0.0,2.5
510,desktop,4,61.86,31.47,33.97
511,mobile,5,36.43,17.41,19.91
512,mobile,5,37.51,21.99,24.49
513,mobile,4,59.98,2.84,5.34
514,mobile,3,21.03,30.11,32.61
515,mobile,6,24.71,1.1,3.6
516,desktop,5,73.0,41.02,43.52
517,mobile,3,183.63,55.9,58.4
518,desktop,3,122.32,32.55,35.05
519,mobile,2,3.55,1.75,4.25
520,desktop,2,92.81,32.99,35.49
521,mobile,5,34.34,0.0,2.5
522,mobile,11,23.35,59.65,62.15
523,mobile,6,59.81,31.87,34.37
524,mobile,6,36.64,5.35,7.85
525,desktop,3,48.4,17.37,19.87
526,mobile,4,97.59,67.75,70.25
527,desktop,7,81.37,34.74,37.24
528,mobile,9,23.56,0.0,2.5
529,mobile,9,9.45,14.78,17.28
530,mobile,2,17.28,0.0,2.5
531,mobile,8,27.21,8.12,10.62
532,desktop,5,55.31,37.17,39.67
533,desktop,4,33.79,0.0,2.5
534,desktop,8,36.81,25.21,27.71
535,mobile,5,57.85,23.27,25.77
536,mobile,5,119.34,57.93,60.43
537,mobile,8,49.08,0.0,2.5
538,mobile,2,117.11,39.6,42.1
539,desktop,4,2.97,0.0,2.5
540,mobile,6,54.38,17.06,19.56
541,mobile,7,35.66,0.0,2.5
542,mobile,6,16.64,0.0,2.5
543,desktop,6,50.77,7.5,10.0
544,desktop,5,69.97,26.45,28.95
545,desktop,2,65.93,2.51,5.01
546,mobile,4,44.64,33.71,36.21
547,mobile,7,49.54,32.29,34.79
548,desktop,6,84.4,22.43,24.93
549,mobile,5,84.53,7.72,10.22
550,mobile,4,36.32,33.68,36.18
551,mobile,8,40.89,56.92,59.42
552,desktop,7,32.05,0.86,3.36
553,mobile,2,88.36,40.55,43.05
554,mobile,6,16.23,0.0,2.5
555,desktop,3,69.3,22.23,24.73
556,mobile,3,91.43,54.5,57.0
557,mobile,6,52.7,16.48,18.98
558,mobile,5,60.7,43.12,45.62
559,mobile,4,59.84,7.23,9.73
560,desktop,4,18.76,0.0,2.5
561,mobile,8,163.39,39.47,41.97
562,mobile,5,23.53,1.08,3.58
563,mobile,6,98.39,58.97,61.47
564,desktop,11,32.72,0.0,2.5
565,mobile,3,106.13,33.94,36.44
566,mobile,5,65.63,52.07,54.57
567,mobile,4,104.29,24.29,26.79
568,mobile,6,32.51,39.17,41.67
569,mobile,10,103.87,36.51,39.01
570,desktop,3,45.46,29.48,31.98
571,mobile,3,101.78,42.97,45.47
572,desktop,4,70.57,0.0,2.5
573,desktop,5,77.43,35.16,37.66
574,mobile,12,69.91,59.96,62.46
575,mobile,5,60.26,0.0,2.5
576,mobile,7,6.73,0.0,2.5
577,desktop,5,22.86,22.95,25.45
578,mobile,8,42.43,32.59,35.09
579,desktop,6,44.74,0.0,2.5
580,desktop,6,77.04,58.51,61.01
581,mobile,2,78.52,16.37,18.87
582,mobile,4,45.75,29.73,32.23
583,desktop,2,34.08,21.17,23.67
584,mobile,3,40.33,0.0,2.5
585,mobile,2,51.44,0.64,3.14
586,mobile,7,145.11,30.28,32.78
587,desktop,8,65.53,16.81,19.31
588,mobile,6,155.08,26.4,28.9
589,desktop,7,20.88,0.0,2.5
590,mobile,2,31.11,3.59,6.09
591,desktop,3,170.06,47.93,50.43
592,mobile,5,31.87,26.34,28.84
593,desktop,7,54.05,18.81,21.31
594,mobile,2,84.62,22.06,24.56
595,desktop,12,63.5,21.07,23.57
596,desktop,3,11.63,20.16,22.66
597,desktop,4,172.51,39.4,41.9
598,mobile,7,20.37,1.74,4.24
599,desktop,3,106.4,36.81,39.31
600,desktop,6,73.48,6.52,9.02
601,mobile,6,25.54,7.24,9.74
602,desktop,8,84.49,55.99,58.49
603,mobile,3,70.43,23.87,26.37
604,desktop,3,1.93,0.0,2.5
605,mobile,4,77.91,48.96,51.46
606,desktop,7,15.8,3.71,6.21
607,mobile,7,40.41,18.64,21.14
608,mobile,1,56.64,0.65,3.15
609,mobile,4,95.81,49.29,51.79
610,mobile,3,50.01,3.24,5.74
611,mobile,5,19.96,41.15,43.65
612,desktop,6,71.97,31.76,34.26
613,desktop,6,61.36,0.0,2.5
614,desktop,7,31.9,0.0,2.5
615,desktop,6,96.59,54.84,57.34
616,mobile,5,11.93,8.75,11.25
617,mobile,6,97.59,35.86,38.36
618,desktop,7,47.82,6.67,9.17
619,mobile,5,41.99,0.0,2.5
620,desktop,6,33.28,1.53,4.03
621,mobile,8,28.18,24.39,26.89
622,mobile,3,73.8,15.73,18.23
623,mobile,5,222.94,73.34,75.84
624,mobile,2,88.98,33.3,35.8
625,desktop,4,12.46,0.0,2.5
626,mobile,4,9.92,16.15,18.65
627,mobile,7,74.04,27.16,29.66
628,mobile,11,27.85,2.52,5.02
629,desktop,5,42.99,35.94,38.44
630,mobile,5,47.79,18.55,21.05
631,mobile,2,14.01,6.11,8.61
632,desktop,5,40.73,22.35,24.85
633,mobile,8,11.68,7.54,10.04
634,desktop,4,31.57,18.47,20.97
635,mobile,6,38.15,56.9,59.4
636,mobile,2,111.14,25.95,28.45
637,mobile,4,138.25,6.97,9.47
638,mobile,7,51.64,0.0,2.5
639,mobile,4,21.88,41.17,43.67
640,mobile,4,74.72,17.28,19.78
641,mobile,4,41.55,0.0,2.5
642,mobile,5,74.63,13.97,16.47
643,desktop,4,69.01,18.68,21.18
644,mobile,4,128.65,59.64,62.14
645,mobile,5,102.06,50.89,53.39
646,mobile,3,21.95,47.32,49.82
647,mobile,5,19.44,8.72,11.22
648,mobile,6,101.43,34.18,36.68
649,mobile,5,162.12,64.33,66.83
650,mobile,6,17.67,0.0,2.5
651,mobile,2,29.69,7.18,9.68
652,mobile,6,32.88,12.93,15.43
653,mobile,5,89.77,25.49,27.99
654,mobile,4,111.15,53.47,55.97
655,mobile,4,65.56,16.38,18.88
656,mobile,5,133.01,71.98,74.48
657,desktop,9,29.09,23.42,25.92
658,mobile,6,127.03,44.31,46.81
659,mobile,7,124.24,73.26,75.76
660,mobile,3,53.92,32.56,35.06
661,desktop,6,27.56,13.08,15.58
662,mobile,3,91.88,51.58,54.08
663,mobile,7,246.0,80.76,83.26
664,desktop,5,26.63,0.0,2.5
665,desktop,3,85.74,52.53,55.03
666,desktop,3,37.75,13.05,15.55
667,mobile,7,37.6,15.83,18.33
668,mobile,2,10.7,24.22,26.72
669,mobile,2,57.52,0.0,2.5
670,desktop,5,46.7,34.98,37.48
671,mobile,6,33.53,6.44,8.94
672,desktop,6,51.87,0.0,2.5
673,desktop,3,100.48,50.85,53.35
674,mobile,3,46.84,0.0,2.5
675,mobile,5,92.98,6.46,8.96
676,mobile,6,13.28,0.0,2.5
677,mobile,6,73.16,9.94,12.44
678,mobile,3,47.72,4.67,7.17
679,mobile,2,140.61,5.93,8.43
680,mobile,6,174.87,67.99,70.49
681,desktop,5,7.12,0.0,2.5
682,desktop,4,20.55,15.72,18.22
683,mobile,7,12.04,8.97,11.47
684,mobile,3,120.86,49.6,52.1
685,mobile,3,31.53,22.47,24.97
686,mobile,8,47.16,20.9,23.4
687,desktop,5,199.94,53.38,55.88
688,desktop,6,59.84,15.45,17.95
689,mobile,8,65.78,16.53,19.03
690,desktop,3,86.3,18.28,20.78
691,mobile,3,10.06,0.0,2.5
692,mobile,4,75.51,62.14,64.64
693,mobile,4,18.15,6.3,8.8
694,mobile,9,46.88,0.0,2.5
695,mobile,2,165.47,29.8,32.3
696,desktop,5,64.93,33.9,36.4
